ID	STT	MauNhanImage	NhanHieu	Nhom	TrangThai	NgayNopDon	SoDon	ChuDon	DaiDienSHCN	RowText
4-2023-37042	1	https://r37.vietnamtrademark.net/trademarks/2023/4202337042.jpg?cb=5b5046b3-7474-4eec-90b6-a314fbe38a0b	PHÁP PHỤC CÔ THỎ	41, 25, 35, 40	Đang giải quyết	21.08.2023	4-2023-37042	Hộ kinh doanh Pháp Phục Cô Thỏ		1 PHÁP PHỤC CÔ THỎ 41, 25, 35, 40 Đang giải quyết 21.08.2023 4-2023-37042 Hộ kinh doanh Pháp Phục Cô Thỏ
4-2023-37043	1	https://r37.vietnamtrademark.net/trademarks/2023/4202337043.jpg?cb=5b5046b3-7474-4eec-90b6-a314fbe38a0b	XỔ SỐ.net.vn	41	Đang giải quyết	21.08.2023	4-2023-37043	Công ty cổ phần ứng dụng công nghệ truyền thông CTC		1 XỔ SỐ.net.vn 41 Đang giải quyết 21.08.2023 4-2023-37043 Công ty cổ phần ứng dụng công nghệ truyền thông CTC
4-2023-37044	1	https://r37.vietnamtrademark.net/trademarks/2023/4202337044.jpg?cb=5b5046b3-7474-4eec-90b6-a314fbe38a0b	KIKO	3	Đang giải quyết	21.08.2023	4-2023-37044	Công ty TNHH xuất nhập khẩu và thương mại Long Vũ		1 KIKO 3 Đang giải quyết 21.08.2023 4-2023-37044 Công ty TNHH xuất nhập khẩu và thương mại Long Vũ
